pageType,Url
"Forum - Announcements","https://breachforums.st/Thread-New-escrow-update"
"Forum - Introductions","https://breachforums.st/Thread-Hi-guys--155239"
"Forum - Announcements","https://breachforums.st/Thread-New-Forum-Sections"
"Forum - Announcements","https://breachforums.st/Thread-Auto-Escrow-Update"
"Forum - World News","https://breachforums.st/Thread-The-CCP-must-pay-for-its-blood-debts"
"Forum - Achievements","https://breachforums.st/Thread-20K-sb-messages"
"Forum - Technology News","https://breachforums.st/Thread-Internet-Archive-hacked"
"Forum - Achievements","https://breachforums.st/Thread-4K-reputation"
"Forum - Serious Discussion","https://breachforums.st/Thread-Need-help-Scraping-Vermont-State-Data-Broker-Registry"
"Forum - Technology News","https://breachforums.st/Thread-Israel-is-preparing-to-extradite-programmer-Rostislav-to-the-United-States"
"Forum - Achievements","https://breachforums.st/Thread-meetings-portseattle-org"
"Forum - Technology News","https://breachforums.st/Thread-Ultralytics-Hit-by-Supply-Chain-Attack-Through-GitHub-Branch-Name-Injection"
"Forum - Serious Discussion","https://breachforums.st/Thread-THIS-IS-NOT-OFFICIAL-LOCKBIT-TELEGRAM-CHANNEL-PLEASE-BE-CAREFUL-IF-YOU-DON-T-WANT-TO"
"Forum - Achievements","https://breachforums.st/Thread-Fumentazo-Top-1-ShoutBox"
"Forum - Technology News","https://breachforums.st/Thread-Blue-Yonder-ransomware-attack-disrupts-grocery-store-supply-chain"
"Forum - Serious Discussion","https://breachforums.st/Thread-semi-private-combo-or-not"
"Forum - Achievements","https://breachforums.st/Thread-CrowdStrike-have-given-me-an-official-designation"
"Forum - Technology News","https://breachforums.st/Thread-FBI-Recovered-7000-Lockbit-Decryption-keys"
"Forum - Serious Discussion","https://breachforums.st/Thread-Worth-phishing-to-crypto-exchange"
"Forum - Technology News","https://breachforums.st/Thread-another-service-is-gone"
"Forum - Achievements","https://breachforums.st/Thread-1-day-sober-of-energy-drinks"
"Forum - Serious Discussion","https://breachforums.st/Thread-Bitcoin-on-the-rise-risks-you-can-t-ignore"
"Forum - Technology News","https://breachforums.st/Thread-LockBit-websites-seized-affiliate-panel-pwned-as-well"
"Forum - Achievements","https://breachforums.st/Thread-Finally-got-username-effect"
"Forum - Serious Discussion","https://breachforums.st/Thread-BEC"
"Forum - Technology News","https://breachforums.st/Thread-Inside-the-U-S-Government-Bought-Tool-That-Can-Track-Phones-at-Abortion-Clinics"
"Forum - Achievements","https://breachforums.st/Thread-Got-a-domain-name-I-ve-always-wanted"
"Forum - Serious Discussion","https://breachforums.st/Thread-How-can-I-bypass-the-14-day-username-change-restriction-on-Instagram"
"Forum - Technology News","https://breachforums.st/Thread-Hacker-in-Snowflake-Extortions-May-Be-a-U-S-Soldier-Referring-to-Kiberphant0m"
"Forum - Achievements","https://breachforums.st/Thread-I-got-the-Gamer-Tag"
"Forum - Serious Discussion","https://breachforums.st/Thread-My-database-of-leaking-cloud-service-files"
"Forum - Technology News","https://breachforums.st/Thread-New-York-Times-Says-OpenAI-Erased-Potential-Lawsuit-Evidence"
"Forum - Achievements","https://breachforums.st/Thread-I-overcame-laziness"
"Forum - Achievements","https://breachforums.st/Thread-home-local-Gpt-chat"
"Forum - Random Discussion","https://breachforums.st/Thread-How-to-Test-HTTP-Requests-in-Acunetix-by-Importing-Requests-from-Burp-Suite"
"Forum - Technology News","https://breachforums.st/Thread-Toyota-confirms-breach-after-stolen-data-leaks-on-hacking-forum"
"Forum - Achievements","https://breachforums.st/Thread-Shut-down-homework-services-with-READ-BELLOW"
"Forum - Technology News","https://breachforums.st/Thread-Critical-7-Zip-Vulnerability-Let-Attackers-Execute-Arbitrary-Code"
"Forum - Random Discussion","https://breachforums.st/Thread-UnitedHleathcare-CEO-shot-outside-hotel-in-New-York-by-masked-person"
"Forum - Achievements","https://breachforums.st/Thread-watched-3-evil-dead-movies"
"Forum - Technology News","https://breachforums.st/Thread-Apple-Urges-Updates-to-Patch-Active-Zero-Day-Exploits"
"Forum - Random Discussion","https://breachforums.st/Thread-Christmas"
"Forum - Technology News","https://breachforums.st/Thread-US-Charges-Five-Alleged-Scattered-Spider-Members"
"Forum - Achievements","https://breachforums.st/Thread-Nearly-8K-posts"
"Forum - Random Discussion","https://breachforums.st/Thread-Black-Ops-6-is-out-First-impression"
"Forum - Technology News","https://breachforums.st/Thread-NO-LOGS-VPN-Best-VPN-for-clear-and-dark-web"
"Forum - Achievements","https://breachforums.st/Thread-600-post-celebration-thread"
"Forum - Random Discussion","https://breachforums.st/Thread-Why-is-it-so-hard-to-get-valid-IDs"
"Forum - Technology News","https://breachforums.st/Thread-Campaign-abusing-HubSpot-targets-20-000-Microsoft-Azure-accounts"
"Forum - Random Discussion","https://breachforums.st/Thread-Scholz-wins-Playboy-magazine-rating"
"Forum - Achievements","https://breachforums.st/Thread-Got-promoted-with-gpt4all"
"Forum - Achievements","https://breachforums.st/Thread-I-once-had-Bug-Hunter-achievement-on-BFv1"
"Forum - Technology News","https://breachforums.st/Thread-Arrest-of-LockBit-Developer-Rostislav-Panev"
"Forum - Technology News","https://breachforums.st/Thread-Android-malware-found-on-Amazon-Appstore-disguised-as-health-app"
"Forum - The Lounge","https://breachforums.st/Thread-NEW-USERS-READ-how-to-avoid-scammers-in-the-marketplace"
"Forum - Random Discussion","https://breachforums.st/Thread-JSON-to-CSV-converter"
"Forum - Technology News","https://breachforums.st/Thread-FBI-Recovered-7000-Lockbit-Decryption-keys"
"Forum - Random Discussion","https://breachforums.st/Thread-Question-Thread-Formatting-View-for-credits"
"Forum - Technology News","https://breachforums.st/Thread-another-service-is-gone"
"Forum - Random Discussion","https://breachforums.st/Thread-New-Elden-Ring-announced"
"Forum - Technology News","https://breachforums.st/Thread-LockBit-websites-seized-affiliate-panel-pwned-as-well"
"Forum - Random Discussion","https://breachforums.st/Thread-Google-replace-Voice-Assistant-to-Gemini"
"Forum - Achievements","https://breachforums.st/Thread-I-got-the-Gamer-Tag"
"Forum - Technology News","https://breachforums.st/Thread-Inside-the-U-S-Government-Bought-Tool-That-Can-Track-Phones-at-Abortion-Clinics"
"Forum - Random Discussion","https://breachforums.st/Thread-Adolescents-Hackers-Young-Reckless-and-Formidable"
"Forum - Achievements","https://breachforums.st/Thread-I-submitted-my-second-paper-for-publication"
"Forum - Technology News","https://breachforums.st/Thread-Hacker-in-Snowflake-Extortions-May-Be-a-U-S-Soldier-Referring-to-Kiberphant0m"
"Forum - Achievements","https://breachforums.st/Thread-i-got-my-school-IT-fired-for-locking-my-school-account"
"Forum - Random Discussion","https://breachforums.st/Thread-onion-name"
"Forum - Technology News","https://breachforums.st/Thread-New-York-Times-Says-OpenAI-Erased-Potential-Lawsuit-Evidence"
"Forum - Random Discussion","https://breachforums.st/Thread-XDefiant-FPS-Shuts-Down-After-7-Months"
"Forum - Achievements","https://breachforums.st/Thread-I-submitted-my-second-paper-for-publication"
"Forum - Serious Discussion","https://breachforums.st/Thread-web-hacking"
